Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2025-02-14 22:43:56,2025-02-16 00:00:00,UTC-05:00,61,51,109,33.26,96.20,5.4,1586,161,77,2025-02-14 22:43:56,2025-02-15 09:19:50,100,15.4,595,635,419,79,97,40,536,58,94,70
2025-02-14 01:01:18,2025-02-14 22:43:56,UTC-05:00,43,56,96,33.20,98.38,9.0,1977,146,69,2025-02-14 01:01:18,2025-02-14 08:19:11,77,15.7,390,437,257,71,62,47,506,0,89,59
2025-02-13 00:11:16,2025-02-14 01:01:18,UTC-05:00,94,49,147,32.70,97.00,15.0,2928,167,74,2025-02-13 00:11:16,2025-02-13 10:06:48,100,15.7,548,595,294,101,153,47,494,21,92,59
2025-02-11 22:50:42,2025-02-13 00:11:16,UTC-05:00,81,52,126,33.20,96.39,6.1,2059,143,67,2025-02-11 22:50:42,2025-02-12 07:30:18,92,15.5,464,519,344,48,72,55,507,3,90,82
2025-02-10 22:34:38,2025-02-11 22:50:42,UTC-05:00,97,48,140,33.30,95.75,14.6,2818,167,71,2025-02-10 22:34:38,2025-02-11 07:29:37,99,15.7,482,534,300,85,97,52,488,14,90,75
2025-02-09 23:22:35,2025-02-10 22:34:38,UTC-05:00,39,54,81,32.90,96.63,6.4,1906,160,67,2025-02-09 23:22:35,2025-02-10 07:29:58,94,15.8,450,487,416,24,10,37,479,0,92,59
2025-02-08 23:29:34,2025-02-09 23:22:35,UTC-05:00,63,54,105,33.42,96.82,9.4,2130,164,68,2025-02-08 23:29:34,2025-02-09 10:55:28,100,15.5,644,685,464,56,124,41,493,16,93,56
2025-02-07 23:08:34,2025-02-08 23:29:34,UTC-05:00,85,50,117,33.08,96.92,7.9,2065,139,69,2025-02-07 23:08:34,2025-02-08 07:29:54,93,15.9,467,501,377,46,44,34,500,14,93,92
2025-02-06 22:42:48,2025-02-07 23:08:34,UTC-05:00,66,50,93,33.30,96.93,11.3,2354,147,70,2025-02-06 22:42:48,2025-02-07 07:14:16,95,15.8,472,511,285,92,95,39,495,20,92,95
2025-02-05 22:40:12,2025-02-06 22:42:48,UTC-05:00,97,46,130,33.21,96.71,6.9,2006,155,64,2025-02-05 22:40:12,2025-02-06 07:30:24,94,16.0,467,530,308,78,81,63,498,24,89,93
2025-02-04 22:36:22,2025-02-05 22:40:12,UTC-05:00,94,52,117,33.40,96.07,6.0,1993,155,66,2025-02-04 22:36:22,2025-02-05 07:34:09,92,16.2,473,518,290,71,112,45,512,32,91,89
2025-02-03 22:43:03,2025-02-04 22:36:22,UTC-05:00,89,51,110,33.01,95.55,9.1,2155,156,68,2025-02-03 22:43:03,2025-02-04 07:18:42,87,16.0,442,512,309,51,82,70,508,11,86,85
2025-02-02 23:15:32,2025-02-03 22:43:03,UTC-05:00,80,52,98,33.70,96.76,13.5,2553,154,73,2025-02-02 23:15:32,2025-02-03 07:34:50,95,16.2,468,499,314,73,81,31,491,0,93,
2025-02-01 22:52:58,2025-02-02 23:15:32,UTC-05:00,71,56,81,33.30,95.27,12.5,2473,154,72,2025-02-01 22:52:58,2025-02-02 08:50:28,100,16.1,572,597,514,32,26,25,513,0,95,
2025-02-01 00:00:00,2025-02-01 22:52:58,UTC-05:00,,,,,,7.9,870,146,77,,,,,,,,,,,,,,
2024-11-06 00:00:00,2024-11-07 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 00:00:00,2024-11-06 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-10-24 00:00:00,2024-10-25 00:00:00,UTC-04:00,,,,,,,,,,,,,,,,,,,,,,,
2024-10-01 00:00:00,2024-10-02 00:00:00,UTC-04:00,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 00:00:00,2024-09-13 00:00:00,UTC-04:00,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11 00:00:00,2024-09-12 00:00:00,UTC-04:00,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25 00:00:00,2024-08-26 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-08-24 00:00:00,2024-08-25 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-08-18 00:00:00,2024-08-19 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
